index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty
175.0,chuwi,Chuwi FreeBook Laptop (12th Gen Core i3/ 12GB/ 512GB SSD/ Win11),32990.0,50.0,intel,core i3,6.0,8.0,12.0,SSD,512.0,No secondary storage,0.0,intel,integrated,True,13.5,2256.0,1504.0,windows,1
176.0,acer,Acer Swift Go NXKPZSI002 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),72990.0,64.0,intel,core i5,12.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,14.0,2880.0,1800.0,windows,1
177.0,hp,HP 255 G9 841W6PA Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ FreeDOS),23999.0,49.0,amd,ryzen 3,2.0,4.0,8.0,SSD,512.0,No secondary storage,0.0,amd,integrated,False,15.6,1366.0,768.0,,1
178.0,gigabyte,Gigabyte G5 MF-F2IN313SH Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),,67.0,intel,core i5,8.0,,16.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,,1080.0,windows,2
179.0,asus,Asus Zenbook Flip 14 OLED UP5401ZA-KU541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),84990.0,69.0,intel,core i5,12.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,True,14.0,3840.0,2400.0,windows,1
180.0,asus,Asus Chromebook CX1500CKA-EJ0241 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),17990.0,35.0,intel,celeron,2.0,2.0,4.0,SSD,64.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,chrome,1
181.0,lenovo,Lenovo IdeaPad 1 15IGL7 82V700BSIN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),25790.0,50.0,intel,celeron,2.0,2.0,8.0,SSD,256.0,No secondary storage,0.0,intel,integrated,False,15.6,1366.0,768.0,windows,1
182.0,hp,HP 255 G8 7J035AA Laptop (Ryzen 5-5500U/ 8GB/ 256GB SSD/ Win11),31999.0,56.0,amd,ryzen 5,6.0,12.0,8.0,SSD,256.0,No secondary storage,0.0,amd,integrated,False,15.6,1920.0,1080.0,windows,1
183.0,acer,Acer Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),179990.0,78.0,intel,core i9,24.0,32.0,16.0,SSD,1024.0,,0.0,nvidia,,False,16.0,1920.0,1200.0,windows,1
184.0,asus,Asus TUF Gaming F15 FX506HE-HN382W Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),72990.0,71.0,intel,core i7,8.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,,windows,1
185.0,hp,HP Victus 15-fa0187TX Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),92800.0,76.0,intel,core i7,10.0,16.0,16.0,SSD,1024.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,1
186.0,lenovo,Lenovo IdeaPad 3 82KU024JIN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),48990.0,64.0,amd,ryzen 7,8.0,16.0,16.0,SSD,,No secondary storage,0.0,amd,integrated,False,15.6,1920.0,1080.0,windows,1
187.0,msi,MSI Modern 14 C12M-459IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),54990.0,60.0,intel,core i7,10.0,12.0,16.0,SSD,512.0,,0.0,intel,integrated,False,14.0,1920.0,1080.0,windows,1
188.0,wings,Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),39990.0,58.0,intel,core i7,4.0,8.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,14.0,1080.0,1920.0,windows,1
189.0,wings,Wings Nuvobook S1 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),24990.0,49.0,intel,core i3,4.0,8.0,8.0,SSD,256.0,No secondary storage,0.0,intel,integrated,False,15.6,1080.0,1920.0,windows,1
190.0,msi,MSI Thin GF63 11UCX-1492IN Gaming Laptop (11th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),61990.0,73.0,intel,core i5,6.0,12.0,16.0,,,SSD,256.0,nvidia,dedicated,False,15.6,1920.0,,windows,No information
191.0,infinix,Infinix INBook X3 Slim XL422 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),38990.0,56.0,intel,core i5,10.0,12.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,14.0,1920.0,,windows,1
